race	position	oral exam	written exam	combined score	Col 6	Col 7	Col 8	Col 9
W	Lieutenant	88.75	91	90.1				
W	Lieutenant	87.5	87	87.2				
W	Lieutenant	77.5	91	85.6				
W	Lieutenant	85	84	84.4				
W	Lieutenant	80	87	84.2				
W	Lieutenant	73.75	91	84.1				
W	Lieutenant	80.83	84	82.732				
W	Lieutenant	73.33	89	82.732				
W	Lieutenant	63.75	95	82.5				
W	Lieutenant	68.33	91	81.932				
W	Lieutenant	69.58	86	79.432				
W	Lieutenant	73.75	81	78.1				
W	Lieutenant	58.75	89	76.9				
B	Lieutenant	77.5	76	76.6				
B	Lieutenant	61.25	86	76.1				
B	Lieutenant	80.42	73	75.968				
W	Lieutenant	74.17	77	75.868				
W	Lieutenant	63.33	83	75.132				
W	Lieutenant	87.5	66	74.6				
B	Lieutenant	65.83	80	74.332				
W	Lieutenant	78.33	70	73.332				
B	Lieutenant	70.83	74	72.732				
W	Lieutenant	66.67	76	72.268				
B	Lieutenant	92.08	59	72.232				
W	Lieutenant	72.5	72	72.2				
W	Lieutenant	73.33	71	71.932				
H	Lieutenant	55	82	71.2				
H	Lieutenant	69.17	72	70.868				
W	Lieutenant	65.83	74	70.732				
W	Lieutenant	58.33	79	70.732				
H	Lieutenant	53.75	82	70.7				
W	Lieutenant	77.5	66	70.6				
W	Lieutenant	73.75	68	70.3				
W	Lieutenant	71.67	69	70.068				
W	Lieutenant	64.58	73	69.632				
H	Lieutenant	70.83	68	69.132				
W	Lieutenant	73.75	66	69.1				
W	Lieutenant	58.75	76	69.1				
W	Lieutenant	51.25	80	68.5				
H	Lieutenant	62.5	72	68.2				
W	Lieutenant	51.67	79	68.068				
B	Lieutenant	70.83	65	67.332				
W	Lieutenant	64.58	69	67.232				
W	Lieutenant	79.17	59	67.068				
H	Lieutenant	56.25	73	66.3				
W	Lieutenant	55	73	65.8				
B	Lieutenant	66.25	65	65.5				
W	Lieutenant	50.42	75	65.168				
H	Lieutenant	57.5	70	65				
B	Lieutenant	69.17	60	63.668				
H	Lieutenant	51.67	71	63.268				
W	Lieutenant	71.67	57	62.868				
H	Lieutenant	50.42	71	62.768				
W	Lieutenant	56.25	66	62.1				
B	Lieutenant	56.67	64	61.068				
B	Lieutenant	56.25	64	60.9				
H	Lieutenant	42.5	73	60.8				
H	Lieutenant	51.25	67	60.7				
B	Lieutenant	55	64	60.4				
B	Lieutenant	51.25	66	60.1				
W	Lieutenant	49.58	67	60.032				
W	Lieutenant	60	60	60				
H	Lieutenant	46.25	68	59.3				
B	Lieutenant	60.83	58	59.132				
W	Lieutenant	57.92	58	57.968				
W	Lieutenant	51.25	62	57.7				
W	Lieutenant	44.58	66	57.432				
H	Lieutenant	44.17	66	57.268				
W	Lieutenant	45.42	65	57.168				
B	Lieutenant	55.83	58	57.132				
W	Lieutenant	54.58	58	56.632				
B	Lieutenant	58.75	55	56.5				
H	Lieutenant	40.83	64	54.732				
B	Lieutenant	52.08	56	54.432				
H	Lieutenant	48.33	58	54.132				
B	Lieutenant	52.92	49	50.568				
B	Lieutenant	45.83	46	45.932				
