Subject age	Gender	Race	State	Method of death	Disposition	Date of Death	Year	Col 9
29.	Male	African-American/Black	MN	Gunshot	Justified	November 1, 2000	2000	
51.	Male	Unknown race	VT	Gunshot	Justified	October 23, 2000	2000	
21.	Female	Unknown race	NY	Gunshot	Excusable	October 23, 2000	2000	
46.	Male	Unknown race	FL	Gunshot	Unreported	February 21, 2000	2000	
11.	Male	Hispanic/Latino	CA	Gunshot	Unreported	September 13, 2000	2000	
25.	Male	Unknown race	NY	Gunshot	Unreported	July 7, 2000	2000	
38.	Male	Unknown race	MD	Gunshot	Justified	November 17, 2000	2000	
23.	Male	African-American/Black	NY	Gunshot	Justified	March 1, 2000	2000	
36.	Male	Unknown race	ME	Gunshot	Unknown	August 2, 2000	2000	
24.	Male	African-American/Black	NY	Drug Overdose	Accidental	March 1, 2000	2000	
29.	Female	Unknown race	MN	Gunshot	Justified	November 21, 2000	2000	
39.	Male	African-American/Black	CA	Gunshot	Unreported	October 28, 2000	2000	
21.	Male	Unknown race	IL	Gunshot	Justified	February 29, 2000	2000	
49.	Female	European-American/White	MN	Gunshot		June 12, 2000	2000	
36.	Male	African-American/Black	MO	Gunshot	Justified	June 12, 2000	2000	
40.	Male	African-American/Black	WA	Gunshot	Justified	April 12, 2000	2000	
17.	Male	Unknown race	NY	Gunshot	Unknown	April 12, 2000	2000	
47.	Male	Unknown race	NY	Gunshot	Unreported	August 12, 2000	2000	
37.	Male	Unknown race	NY	Gunshot	Justified	February 5, 2000	2000	
23.	Male	European-American/White	NV	Gunshot	Justified	February 5, 2000	2000	
40.	Male	African-American/Black	IL	Gunshot	Justified	March 16, 2000	2000	
28.	Female	Unknown race	MN	Vehicle	Excusable	August 20, 2000	2000	
27.	Male	Unknown race	MA	Gunshot	Unreported	November 27, 2000	2000	
26.	Male	African-American/Black	NY	Gunshot	Justified	March 16, 2000	2000	
42.	Male	Unknown race	MD	Gunshot	Unreported	November 28, 2000	2000	
35.	Male	Unknown race	NY	Gunshot	Unreported	November 30, 2000	2000	
24.	Male	Unknown race	FL	Gunshot	Excusable	August 14, 2000	2000	
27.	Female	Hispanic/Latino	WA	Gunshot	Unreported	November 9, 2000	2000	
73.	Male	Unknown race	OR	Asphyxiated	Unreported	October 10, 2000	2000	
31.	Male	European-American/White	NV	Gunshot	Justified	October 30, 2000	2000	
37.	Female	European-American/White	NV	Gunshot	Justified	October 30, 2000	2000	
19	Male	Unknown race	OH	Gunshot	Justified	October 18, 2000	2000	
67.	Male	European-American/White	CO	Gunshot	Justified	October 19, 2000	2000	
34.	Male	European-American/White	OR	Gunshot	Justified	December 18, 2000	2000	
43.	Male	Unknown race	NY	Gunshot	Unknown	April 22, 2000	2000	
19.	Male	Unknown race	OR	Gunshot	Justified	October 2, 2000	2000	
26.	Male	African-American/Black	PA	Gunshot	Justified	January 10, 2000	2000	
25.	Male	Unknown race	WA	Gunshot	Unreported	June 22, 2000	2000	
25.	Male	Unknown race	VA	Gunshot	Unreported	September 1, 2000	2000	
61	Male	African-American/Black	TN	Gunshot	indicted and acquitted	October 4, 2000	2000	
28.	Male	European-American/White	NY	Gunshot	Justified	January 17, 2000	2000	
33.	Male	Unknown race	NY	Gunshot	Unreported	October 20, 2000	2000	
21	Male	European-American/White	NV	Gunshot	Unknown	January 17, 2000	2000	
25.	Male	Unknown race	NY	Gunshot	Justified	December 24, 2000	2000	
37.	Male	African-American/Black	KY	Gunshot	Justified	June 25, 2000	2000	
32.	Male	Unknown race	ME	Gunshot	Justified	January 21, 2000	2000	
32.	Male	Unknown race	NY	Gunshot	Justified	December 24, 2000	2000	
19	Male	Hispanic/Latino	NM	Gunshot	Unknown	June 26, 2000	2000	
13.	Male	Native American/Alaskan	WY	Vehicle	Unknown	March 23, 2000	2000	
29.	Male	Unknown race	MA	Gunshot	Unreported	December 27, 2000	2000	
47	Male	Unknown race	NM	Gunshot	Unknown	June 28, 2000	2000	
15.	Male	African-American/Black	NJ	Gunshot	Accidental	January 28, 2000	2000	
42.	Male	Unknown race	MN	Gunshot	Unreported	June 3, 2000	2000	
29.	Male	African-American/Black	RI	Gunshot	Unreported	January 28, 2000	2000	
7	Female	Unknown race	GA	Stabbed	Calvin Williams got life without parole	June 30, 2000	2000	
26	Female	Unknown race	GA	Stabbed	Calvin Williams got life without parole	June 30, 2000	2000	
6	Male	Unknown race	GA	Stabbed	Calvin Williams got life without parole	June 30, 2000	2000	
28	Male	Unknown race	GA	Stabbed	Calvin Williams got life without parole	June 30, 2000	2000	
20.	Male	African-American/Black	GA	Bludgeoned with instrument	Accidental	January 5, 2000	2000	
19.	Male	African-American/Black	NV	Gunshot	Justified	July 10, 2000	2000	
45.	Male	African-American/Black	NJ	Gunshot	Justified	December 7, 2000	2000	
19.	Male	African-American/Black	NY	Gunshot	Justified	March 31, 2000	2000	
17.	Male	African-American/Black	NY	Gunshot	Justified	March 31, 2000	2000	
27.	Male	European-American/White	ID	Gunshot	Unknown	June 6, 2000	2000	
27.	Male	Unknown race	IL	Gunshot	Criminal	July 24, 2000	2000	
31.	Male	Unknown race	FL	Gunshot	Unreported	February 1, 2000	2000	
43.	Male	European-American/White	CA	Gunshot	Criminal	February 18, 2000	2000	
26	Male	Unknown race	NM	Gunshot	Unknown	September 12, 2000	2000	
36.	Male	European-American/White	OR	Gunshot	Excusable	September 12, 2000	2000	
17.	Male	Unknown race	WA	Gunshot	Excusable	April 26, 2000	2000	
71.	Male	Unknown race	OR	Gunshot	Justified	August 23, 2000	2000	
20.	Male	African-American/Black	IL	Gunshot	Justified	May 12, 2000	2000	
34.	Male	Unknown race	MN	Gunshot	Justified	May 14, 2000	2000	
51.	Male	Unknown race	MD	Gunshot	Unreported	May 19, 2000	2000	
42.	Male	African-American/Black	MD	Gunshot	Unreported	May 20, 2000	2000	
48.	Male	Unknown race	CA	Gunshot	Unreported	September 30, 2000	2000	
